date,type,locale,locale_name,description
2013-02-25,Working Day,Working Day,Working Day,Working Day
2013-02-26,Working Day,Working Day,Working Day,Working Day
2013-02-27,Working Day,Working Day,Working Day,Working Day
2013-02-28,Working Day,Working Day,Working Day,Working Day
2013-03-01,Working Day,Working Day,Working Day,Working Day
2013-03-02,Holiday,Local,Manta,Fundacion de Manta
2013-03-03,Working Day,Working Day,Working Day,Working Day
2013-03-04,Working Day,Working Day,Working Day,Working Day
2013-03-05,Working Day,Working Day,Working Day,Working Day
2013-03-06,Working Day,Working Day,Working Day,Working Day
2013-03-07,Working Day,Working Day,Working Day,Working Day
2013-03-08,Working Day,Working Day,Working Day,Working Day
2013-03-09,Working Day,Working Day,Working Day,Working Day
2013-03-10,Working Day,Working Day,Working Day,Working Day
2013-03-11,Working Day,Working Day,Working Day,Working Day
2013-03-12,Working Day,Working Day,Working Day,Working Day
2013-03-13,Working Day,Working Day,Working Day,Working Day
2013-03-14,Working Day,Working Day,Working Day,Working Day
2013-03-15,Working Day,Working Day,Working Day,Working Day
2013-03-16,Working Day,Working Day,Working Day,Working Day
2013-03-17,Working Day,Working Day,Working Day,Working Day
2013-03-18,Working Day,Working Day,Working Day,Working Day
2013-03-19,Working Day,Working Day,Working Day,Working Day
2013-03-20,Working Day,Working Day,Working Day,Working Day
2013-03-21,Working Day,Working Day,Working Day,Working Day
2013-03-22,Working Day,Working Day,Working Day,Working Day
2013-03-23,Working Day,Working Day,Working Day,Working Day
2013-03-24,Working Day,Working Day,Working Day,Working Day
2013-03-25,Working Day,Working Day,Working Day,Working Day
2013-03-26,Working Day,Working Day,Working Day,Working Day
2013-03-27,Working Day,Working Day,Working Day,Working Day
2013-03-28,Working Day,Working Day,Working Day,Working Day
2013-03-29,Working Day,Working Day,Working Day,Working Day
2013-03-30,Working Day,Working Day,Working Day,Working Day
2013-03-31,Working Day,Working Day,Working Day,Working Day
2013-04-01,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi
2013-04-02,Working Day,Working Day,Working Day,Working Day
2013-04-03,Working Day,Working Day,Working Day,Working Day
2013-04-04,Working Day,Working Day,Working Day,Working Day
2013-04-05,Working Day,Working Day,Working Day,Working Day
2013-04-06,Working Day,Working Day,Working Day,Working Day
2013-04-07,Working Day,Working Day,Working Day,Working Day
2013-04-08,Working Day,Working Day,Working Day,Working Day
2013-04-09,Working Day,Working Day,Working Day,Working Day
2013-04-10,Working Day,Working Day,Working Day,Working Day
2013-04-11,Working Day,Working Day,Working Day,Working Day
2013-04-12,Holiday,Local,Cuenca,Fundacion de Cuenca
2013-04-13,Working Day,Working Day,Working Day,Working Day
2013-04-14,Holiday,Local,Libertad,Cantonizacion de Libertad
2013-04-15,Working Day,Working Day,Working Day,Working Day
2013-04-16,Working Day,Working Day,Working Day,Working Day
2013-04-17,Working Day,Working Day,Working Day,Working Day
2013-04-18,Working Day,Working Day,Working Day,Working Day
2013-04-19,Working Day,Working Day,Working Day,Working Day
2013-04-20,Working Day,Working Day,Working Day,Working Day
2013-04-21,Holiday,Local,Riobamba,Cantonizacion de Riobamba
2013-04-22,Working Day,Working Day,Working Day,Working Day
2013-04-23,Working Day,Working Day,Working Day,Working Day
2013-04-24,Working Day,Working Day,Working Day,Working Day
2013-04-25,Working Day,Working Day,Working Day,Working Day
2013-04-26,Working Day,Working Day,Working Day,Working Day
2013-04-27,Working Day,Working Day,Working Day,Working Day
2013-04-28,Working Day,Working Day,Working Day,Working Day
2013-04-29,Holiday,National,Ecuador,Viernes Santo
2013-04-30,Working Day,Working Day,Working Day,Working Day
2013-05-01,Holiday,National,Ecuador,Dia del Trabajo
2013-05-02,Working Day,Working Day,Working Day,Working Day
2013-05-03,Working Day,Working Day,Working Day,Working Day
2013-05-04,Working Day,Working Day,Working Day,Working Day
2013-05-05,Working Day,Working Day,Working Day,Working Day
2013-05-06,Working Day,Working Day,Working Day,Working Day
2013-05-07,Working Day,Working Day,Working Day,Working Day
2013-05-08,Working Day,Working Day,Working Day,Working Day
2013-05-09,Working Day,Working Day,Working Day,Working Day
2013-05-10,Working Day,Working Day,Working Day,Working Day
2013-05-11,Additional,National,Ecuador,Dia de la Madre-1
2013-05-12,Event,National,Ecuador,Dia de la Madre
2013-05-13,Working Day,Working Day,Working Day,Working Day
2013-05-14,Working Day,Working Day,Working Day,Working Day
2013-05-15,Working Day,Working Day,Working Day,Working Day
2013-05-16,Working Day,Working Day,Working Day,Working Day
2013-05-17,Working Day,Working Day,Working Day,Working Day
2013-05-18,Working Day,Working Day,Working Day,Working Day
2013-05-19,Working Day,Working Day,Working Day,Working Day
2013-05-20,Working Day,Working Day,Working Day,Working Day
2013-05-21,Working Day,Working Day,Working Day,Working Day
2013-05-22,Working Day,Working Day,Working Day,Working Day
2013-05-23,Working Day,Working Day,Working Day,Working Day
2013-05-24,Holiday,National,Ecuador,Batalla de Pichincha
2013-05-25,Working Day,Working Day,Working Day,Working Day
2013-05-26,Working Day,Working Day,Working Day,Working Day
2013-05-27,Working Day,Working Day,Working Day,Working Day
2013-05-28,Working Day,Working Day,Working Day,Working Day
2013-05-29,Working Day,Working Day,Working Day,Working Day
2013-05-30,Working Day,Working Day,Working Day,Working Day
2013-05-31,Working Day,Working Day,Working Day,Working Day
2013-06-01,Working Day,Working Day,Working Day,Working Day
2013-06-02,Working Day,Working Day,Working Day,Working Day
2013-06-03,Working Day,Working Day,Working Day,Working Day
2013-06-04,Working Day,Working Day,Working Day,Working Day
2013-06-05,Working Day,Working Day,Working Day,Working Day
2013-06-06,Working Day,Working Day,Working Day,Working Day
2013-06-07,Working Day,Working Day,Working Day,Working Day
2013-06-08,Working Day,Working Day,Working Day,Working Day
2013-06-09,Working Day,Working Day,Working Day,Working Day
2013-06-10,Working Day,Working Day,Working Day,Working Day
2013-06-11,Working Day,Working Day,Working Day,Working Day
2013-06-12,Working Day,Working Day,Working Day,Working Day
2013-06-13,Working Day,Working Day,Working Day,Working Day
2013-06-14,Working Day,Working Day,Working Day,Working Day
2013-06-15,Working Day,Working Day,Working Day,Working Day
2013-06-16,Working Day,Working Day,Working Day,Working Day
2013-06-17,Working Day,Working Day,Working Day,Working Day
2013-06-18,Working Day,Working Day,Working Day,Working Day
2013-06-19,Working Day,Working Day,Working Day,Working Day
2013-06-20,Working Day,Working Day,Working Day,Working Day
2013-06-21,Working Day,Working Day,Working Day,Working Day
2013-06-22,Working Day,Working Day,Working Day,Working Day
2013-06-23,Holiday,Local,Guaranda,Cantonizacion de Guaranda
2013-06-24,Working Day,Working Day,Working Day,Working Day
2013-06-25,Holiday,Regional,Imbabura,Provincializacion de Imbabura
2013-06-26,Working Day,Working Day,Working Day,Working Day
2013-06-27,Working Day,Working Day,Working Day,Working Day
2013-06-28,Working Day,Working Day,Working Day,Working Day
2013-06-29,Working Day,Working Day,Working Day,Working Day
2013-06-30,Working Day,Working Day,Working Day,Working Day
2013-07-01,Working Day,Working Day,Working Day,Working Day
2013-07-02,Working Day,Working Day,Working Day,Working Day
2013-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo
2013-07-04,Working Day,Working Day,Working Day,Working Day
2013-07-05,Working Day,Working Day,Working Day,Working Day
2013-07-06,Working Day,Working Day,Working Day,Working Day
2013-07-07,Working Day,Working Day,Working Day,Working Day
2013-07-08,Working Day,Working Day,Working Day,Working Day
2013-07-09,Working Day,Working Day,Working Day,Working Day
2013-07-10,Working Day,Working Day,Working Day,Working Day
2013-07-11,Working Day,Working Day,Working Day,Working Day
2013-07-12,Working Day,Working Day,Working Day,Working Day
2013-07-13,Working Day,Working Day,Working Day,Working Day
2013-07-14,Working Day,Working Day,Working Day,Working Day
2013-07-15,Working Day,Working Day,Working Day,Working Day
2013-07-16,Working Day,Working Day,Working Day,Working Day
2013-07-17,Working Day,Working Day,Working Day,Working Day
2013-07-18,Working Day,Working Day,Working Day,Working Day
2013-07-19,Working Day,Working Day,Working Day,Working Day
2013-07-20,Working Day,Working Day,Working Day,Working Day
2013-07-21,Working Day,Working Day,Working Day,Working Day
2013-07-22,Working Day,Working Day,Working Day,Working Day
2013-07-23,Holiday,Local,Cayambe,Cantonizacion de Cayambe
2013-07-24,Additional,Local,Guayaquil,Fundacion de Guayaquil-1
2013-07-25,Holiday,Local,Guayaquil,Fundacion de Guayaquil
2013-07-26,Working Day,Working Day,Working Day,Working Day
2013-07-27,Working Day,Working Day,Working Day,Working Day
2013-07-28,Working Day,Working Day,Working Day,Working Day
2013-07-29,Working Day,Working Day,Working Day,Working Day
2013-07-30,Working Day,Working Day,Working Day,Working Day
2013-07-31,Working Day,Working Day,Working Day,Working Day
2013-08-01,Working Day,Working Day,Working Day,Working Day
2013-08-02,Working Day,Working Day,Working Day,Working Day
2013-08-03,Working Day,Working Day,Working Day,Working Day
2013-08-04,Working Day,Working Day,Working Day,Working Day
2013-08-05,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas
2013-08-06,Working Day,Working Day,Working Day,Working Day
2013-08-07,Working Day,Working Day,Working Day,Working Day
2013-08-08,Working Day,Working Day,Working Day,Working Day
2013-08-09,Working Day,Working Day,Working Day,Working Day
2013-08-10,Holiday,National,Ecuador,Primer Grito de Independencia
2013-08-11,Working Day,Working Day,Working Day,Working Day
2013-08-12,Working Day,Working Day,Working Day,Working Day
2013-08-13,Working Day,Working Day,Working Day,Working Day
2013-08-14,Working Day,Working Day,Working Day,Working Day
2013-08-15,Holiday,Local,Riobamba,Fundacion de Riobamba
2013-08-16,Working Day,Working Day,Working Day,Working Day
2013-08-17,Working Day,Working Day,Working Day,Working Day
2013-08-18,Working Day,Working Day,Working Day,Working Day
2013-08-19,Working Day,Working Day,Working Day,Working Day
2013-08-20,Working Day,Working Day,Working Day,Working Day
2013-08-21,Working Day,Working Day,Working Day,Working Day
2013-08-22,Working Day,Working Day,Working Day,Working Day
2013-08-23,Working Day,Working Day,Working Day,Working Day
2013-08-24,Holiday,Local,Ambato,Fundacion de Ambato
2013-08-25,Working Day,Working Day,Working Day,Working Day
2013-08-26,Working Day,Working Day,Working Day,Working Day
2013-08-27,Working Day,Working Day,Working Day,Working Day
2013-08-28,Working Day,Working Day,Working Day,Working Day
2013-08-29,Working Day,Working Day,Working Day,Working Day
2013-08-30,Working Day,Working Day,Working Day,Working Day
2013-08-31,Working Day,Working Day,Working Day,Working Day
2013-09-01,Working Day,Working Day,Working Day,Working Day
2013-09-02,Working Day,Working Day,Working Day,Working Day
2013-09-03,Working Day,Working Day,Working Day,Working Day
2013-09-04,Working Day,Working Day,Working Day,Working Day
2013-09-05,Working Day,Working Day,Working Day,Working Day
2013-09-06,Working Day,Working Day,Working Day,Working Day
2013-09-07,Working Day,Working Day,Working Day,Working Day
2013-09-08,Working Day,Working Day,Working Day,Working Day
2013-09-09,Working Day,Working Day,Working Day,Working Day
2013-09-10,Working Day,Working Day,Working Day,Working Day
2013-09-11,Working Day,Working Day,Working Day,Working Day
2013-09-12,Working Day,Working Day,Working Day,Working Day
2013-09-13,Working Day,Working Day,Working Day,Working Day
2013-09-14,Working Day,Working Day,Working Day,Working Day
2013-09-15,Working Day,Working Day,Working Day,Working Day
2013-09-16,Working Day,Working Day,Working Day,Working Day
2013-09-17,Working Day,Working Day,Working Day,Working Day
2013-09-18,Working Day,Working Day,Working Day,Working Day
2013-09-19,Working Day,Working Day,Working Day,Working Day
2013-09-20,Working Day,Working Day,Working Day,Working Day
2013-09-21,Working Day,Working Day,Working Day,Working Day
2013-09-22,Working Day,Working Day,Working Day,Working Day
2013-09-23,Working Day,Working Day,Working Day,Working Day
2013-09-24,Working Day,Working Day,Working Day,Working Day
2013-09-25,Working Day,Working Day,Working Day,Working Day
2013-09-26,Working Day,Working Day,Working Day,Working Day
2013-09-27,Working Day,Working Day,Working Day,Working Day
2013-09-28,Holiday,Local,Ibarra,Fundacion de Ibarra
2013-09-29,Working Day,Working Day,Working Day,Working Day
2013-09-30,Working Day,Working Day,Working Day,Working Day
2013-10-01,Working Day,Working Day,Working Day,Working Day
2013-10-02,Working Day,Working Day,Working Day,Working Day
2013-10-03,Working Day,Working Day,Working Day,Working Day
2013-10-04,Working Day,Working Day,Working Day,Working Day
2013-10-05,Working Day,Working Day,Working Day,Working Day
2013-10-06,Working Day,Working Day,Working Day,Working Day
2013-10-07,Holiday,Local,Quevedo,Cantonizacion de Quevedo
2013-10-08,Working Day,Working Day,Working Day,Working Day
2013-10-09,Moved,National,Ecuador,Independencia de Guayaquil
2013-10-10,Working Day,Working Day,Working Day,Working Day
2013-10-11,Transfer,National,Ecuador,Traslado Independencia de Guayaquil
2013-10-12,Working Day,Working Day,Working Day,Working Day
2013-10-13,Working Day,Working Day,Working Day,Working Day
2013-10-14,Working Day,Working Day,Working Day,Working Day
2013-10-15,Working Day,Working Day,Working Day,Working Day
2013-10-16,Working Day,Working Day,Working Day,Working Day
2013-10-17,Working Day,Working Day,Working Day,Working Day
2013-10-18,Working Day,Working Day,Working Day,Working Day
2013-10-19,Working Day,Working Day,Working Day,Working Day
2013-10-20,Working Day,Working Day,Working Day,Working Day
2013-10-21,Working Day,Working Day,Working Day,Working Day
2013-10-22,Working Day,Working Day,Working Day,Working Day
2013-10-23,Working Day,Working Day,Working Day,Working Day
2013-10-24,Working Day,Working Day,Working Day,Working Day
2013-10-25,Working Day,Working Day,Working Day,Working Day
2013-10-26,Working Day,Working Day,Working Day,Working Day
2013-10-27,Working Day,Working Day,Working Day,Working Day
2013-10-28,Working Day,Working Day,Working Day,Working Day
2013-10-29,Working Day,Working Day,Working Day,Working Day
2013-10-30,Working Day,Working Day,Working Day,Working Day
2013-10-31,Working Day,Working Day,Working Day,Working Day
2013-11-01,Working Day,Working Day,Working Day,Working Day
2013-11-02,Holiday,National,Ecuador,Dia de Difuntos
2013-11-03,Holiday,National,Ecuador,Independencia de Cuenca
2013-11-04,Working Day,Working Day,Working Day,Working Day
2013-11-05,Working Day,Working Day,Working Day,Working Day
2013-11-06,Holiday,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo
2013-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena
2013-11-08,Working Day,Working Day,Working Day,Working Day
2013-11-09,Working Day,Working Day,Working Day,Working Day
2013-11-10,Holiday,Local,Guaranda,Independencia de Guaranda
2013-11-11,Holiday,Local,Latacunga,Independencia de Latacunga
2013-11-12,Holiday,Local,Ambato,Independencia de Ambato
2013-11-13,Working Day,Working Day,Working Day,Working Day
2013-11-14,Working Day,Working Day,Working Day,Working Day
2013-11-15,Working Day,Working Day,Working Day,Working Day
2013-11-16,Working Day,Working Day,Working Day,Working Day
2013-11-17,Working Day,Working Day,Working Day,Working Day
2013-11-18,Working Day,Working Day,Working Day,Working Day
2013-11-19,Working Day,Working Day,Working Day,Working Day
2013-11-20,Working Day,Working Day,Working Day,Working Day
2013-11-21,Working Day,Working Day,Working Day,Working Day
2013-11-22,Working Day,Working Day,Working Day,Working Day
2013-11-23,Working Day,Working Day,Working Day,Working Day
2013-11-24,Working Day,Working Day,Working Day,Working Day
2013-11-25,Working Day,Working Day,Working Day,Working Day
2013-11-26,Working Day,Working Day,Working Day,Working Day
2013-11-27,Working Day,Working Day,Working Day,Working Day
2013-11-28,Working Day,Working Day,Working Day,Working Day
2013-11-29,Working Day,Working Day,Working Day,Working Day
2013-11-30,Working Day,Working Day,Working Day,Working Day
2013-12-01,Working Day,Working Day,Working Day,Working Day
2013-12-02,Working Day,Working Day,Working Day,Working Day
2013-12-03,Working Day,Working Day,Working Day,Working Day
2013-12-04,Working Day,Working Day,Working Day,Working Day
2013-12-05,Additional,Local,Quito,Fundacion de Quito-1
2013-12-06,Holiday,Local,Quito,Fundacion de Quito
2013-12-07,Working Day,Working Day,Working Day,Working Day
2013-12-08,Holiday,Local,Loja,Fundacion de Loja
2013-12-09,Working Day,Working Day,Working Day,Working Day
2013-12-10,Working Day,Working Day,Working Day,Working Day
2013-12-11,Working Day,Working Day,Working Day,Working Day
2013-12-12,Working Day,Working Day,Working Day,Working Day
2013-12-13,Working Day,Working Day,Working Day,Working Day
2013-12-14,Working Day,Working Day,Working Day,Working Day
2013-12-15,Working Day,Working Day,Working Day,Working Day
2013-12-16,Working Day,Working Day,Working Day,Working Day
2013-12-17,Working Day,Working Day,Working Day,Working Day
2013-12-18,Working Day,Working Day,Working Day,Working Day
2013-12-19,Working Day,Working Day,Working Day,Working Day
2013-12-20,Working Day,Working Day,Working Day,Working Day
2013-12-21,Additional,National,Ecuador,Navidad-4
2013-12-22,Additional,National,Ecuador,Navidad-3
2013-12-23,Additional,National,Ecuador,Navidad-2
2013-12-24,Additional,National,Ecuador,Navidad-1
2013-12-25,Holiday,National,Ecuador,Navidad
2013-12-26,Additional,National,Ecuador,Navidad+1
2013-12-27,Working Day,Working Day,Working Day,Working Day
2013-12-28,Working Day,Working Day,Working Day,Working Day
2013-12-29,Working Day,Working Day,Working Day,Working Day
2013-12-30,Working Day,Working Day,Working Day,Working Day
2013-12-31,Additional,National,Ecuador,Primer dia del ano-1
2014-01-01,Holiday,National,Ecuador,Primer dia del ano
2014-01-02,Working Day,Working Day,Working Day,Working Day
2014-01-03,Working Day,Working Day,Working Day,Working Day
2014-01-04,Working Day,Working Day,Working Day,Working Day
2014-01-05,Working Day,Working Day,Working Day,Working Day
2014-01-06,Working Day,Working Day,Working Day,Working Day
2014-01-07,Working Day,Working Day,Working Day,Working Day
2014-01-08,Working Day,Working Day,Working Day,Working Day
2014-01-09,Working Day,Working Day,Working Day,Working Day
2014-01-10,Working Day,Working Day,Working Day,Working Day
2014-01-11,Working Day,Working Day,Working Day,Working Day
2014-01-12,Working Day,Working Day,Working Day,Working Day
2014-01-13,Working Day,Working Day,Working Day,Working Day
2014-01-14,Working Day,Working Day,Working Day,Working Day
2014-01-15,Working Day,Working Day,Working Day,Working Day
2014-01-16,Working Day,Working Day,Working Day,Working Day
2014-01-17,Working Day,Working Day,Working Day,Working Day
2014-01-18,Working Day,Working Day,Working Day,Working Day
2014-01-19,Working Day,Working Day,Working Day,Working Day
2014-01-20,Working Day,Working Day,Working Day,Working Day
2014-01-21,Working Day,Working Day,Working Day,Working Day
2014-01-22,Working Day,Working Day,Working Day,Working Day
2014-01-23,Working Day,Working Day,Working Day,Working Day
2014-01-24,Working Day,Working Day,Working Day,Working Day
2014-01-25,Working Day,Working Day,Working Day,Working Day
2014-01-26,Working Day,Working Day,Working Day,Working Day
2014-01-27,Working Day,Working Day,Working Day,Working Day
2014-01-28,Working Day,Working Day,Working Day,Working Day
2014-01-29,Working Day,Working Day,Working Day,Working Day
2014-01-30,Working Day,Working Day,Working Day,Working Day
2014-01-31,Working Day,Working Day,Working Day,Working Day
2014-02-01,Working Day,Working Day,Working Day,Working Day
2014-02-02,Working Day,Working Day,Working Day,Working Day
2014-02-03,Working Day,Working Day,Working Day,Working Day
2014-02-04,Working Day,Working Day,Working Day,Working Day
2014-02-05,Working Day,Working Day,Working Day,Working Day
2014-02-06,Working Day,Working Day,Working Day,Working Day
2014-02-07,Working Day,Working Day,Working Day,Working Day
2014-02-08,Working Day,Working Day,Working Day,Working Day
2014-02-09,Working Day,Working Day,Working Day,Working Day
2014-02-10,Working Day,Working Day,Working Day,Working Day
2014-02-11,Working Day,Working Day,Working Day,Working Day
2014-02-12,Working Day,Working Day,Working Day,Working Day
2014-02-13,Working Day,Working Day,Working Day,Working Day
2014-02-14,Working Day,Working Day,Working Day,Working Day
2014-02-15,Working Day,Working Day,Working Day,Working Day
2014-02-16,Working Day,Working Day,Working Day,Working Day
2014-02-17,Working Day,Working Day,Working Day,Working Day
2014-02-18,Working Day,Working Day,Working Day,Working Day
2014-02-19,Working Day,Working Day,Working Day,Working Day
2014-02-20,Working Day,Working Day,Working Day,Working Day
2014-02-21,Working Day,Working Day,Working Day,Working Day
2014-02-22,Working Day,Working Day,Working Day,Working Day
2014-02-23,Working Day,Working Day,Working Day,Working Day
2014-02-24,Working Day,Working Day,Working Day,Working Day
2014-02-25,Working Day,Working Day,Working Day,Working Day
2014-02-26,Working Day,Working Day,Working Day,Working Day
2014-02-27,Working Day,Working Day,Working Day,Working Day
2014-02-28,Working Day,Working Day,Working Day,Working Day
2014-03-01,Working Day,Working Day,Working Day,Working Day
2014-03-02,Holiday,Local,Manta,Fundacion de Manta
2014-03-03,Holiday,National,Ecuador,Carnaval
2014-03-04,Holiday,National,Ecuador,Carnaval
2014-03-05,Working Day,Working Day,Working Day,Working Day
2014-03-06,Working Day,Working Day,Working Day,Working Day
2014-03-07,Working Day,Working Day,Working Day,Working Day
2014-03-08,Working Day,Working Day,Working Day,Working Day
2014-03-09,Working Day,Working Day,Working Day,Working Day
2014-03-10,Working Day,Working Day,Working Day,Working Day
2014-03-11,Working Day,Working Day,Working Day,Working Day
2014-03-12,Working Day,Working Day,Working Day,Working Day
2014-03-13,Working Day,Working Day,Working Day,Working Day
2014-03-14,Working Day,Working Day,Working Day,Working Day
2014-03-15,Working Day,Working Day,Working Day,Working Day
2014-03-16,Working Day,Working Day,Working Day,Working Day
2014-03-17,Working Day,Working Day,Working Day,Working Day
2014-03-18,Working Day,Working Day,Working Day,Working Day
2014-03-19,Working Day,Working Day,Working Day,Working Day
2014-03-20,Working Day,Working Day,Working Day,Working Day
2014-03-21,Working Day,Working Day,Working Day,Working Day
2014-03-22,Working Day,Working Day,Working Day,Working Day
2014-03-23,Working Day,Working Day,Working Day,Working Day
2014-03-24,Working Day,Working Day,Working Day,Working Day
2014-03-25,Working Day,Working Day,Working Day,Working Day
2014-03-26,Working Day,Working Day,Working Day,Working Day
2014-03-27,Working Day,Working Day,Working Day,Working Day
2014-03-28,Working Day,Working Day,Working Day,Working Day
2014-03-29,Working Day,Working Day,Working Day,Working Day
2014-03-30,Working Day,Working Day,Working Day,Working Day
2014-03-31,Working Day,Working Day,Working Day,Working Day
2014-04-01,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi
2014-04-02,Working Day,Working Day,Working Day,Working Day
2014-04-03,Working Day,Working Day,Working Day,Working Day
2014-04-04,Working Day,Working Day,Working Day,Working Day
2014-04-05,Working Day,Working Day,Working Day,Working Day
2014-04-06,Working Day,Working Day,Working Day,Working Day
2014-04-07,Working Day,Working Day,Working Day,Working Day
2014-04-08,Working Day,Working Day,Working Day,Working Day
2014-04-09,Working Day,Working Day,Working Day,Working Day
2014-04-10,Working Day,Working Day,Working Day,Working Day
2014-04-11,Working Day,Working Day,Working Day,Working Day
2014-04-12,Holiday,Local,Cuenca,Fundacion de Cuenca
2014-04-13,Working Day,Working Day,Working Day,Working Day
2014-04-14,Holiday,Local,Libertad,Cantonizacion de Libertad
2014-04-15,Working Day,Working Day,Working Day,Working Day
2014-04-16,Working Day,Working Day,Working Day,Working Day
2014-04-17,Working Day,Working Day,Working Day,Working Day
2014-04-18,Holiday,National,Ecuador,Viernes Santo
2014-04-19,Working Day,Working Day,Working Day,Working Day
2014-04-20,Working Day,Working Day,Working Day,Working Day
2014-04-21,Holiday,Local,Riobamba,Cantonizacion de Riobamba
2014-04-22,Working Day,Working Day,Working Day,Working Day
2014-04-23,Working Day,Working Day,Working Day,Working Day
2014-04-24,Working Day,Working Day,Working Day,Working Day
2014-04-25,Working Day,Working Day,Working Day,Working Day
2014-04-26,Working Day,Working Day,Working Day,Working Day
2014-04-27,Working Day,Working Day,Working Day,Working Day
2014-04-28,Working Day,Working Day,Working Day,Working Day
2014-04-29,Working Day,Working Day,Working Day,Working Day
2014-04-30,Working Day,Working Day,Working Day,Working Day
2014-05-01,Holiday,National,Ecuador,Dia del Trabajo
2014-05-02,Working Day,Working Day,Working Day,Working Day
2014-05-03,Working Day,Working Day,Working Day,Working Day
2014-05-04,Working Day,Working Day,Working Day,Working Day
2014-05-05,Working Day,Working Day,Working Day,Working Day
2014-05-06,Working Day,Working Day,Working Day,Working Day
2014-05-07,Working Day,Working Day,Working Day,Working Day
2014-05-08,Working Day,Working Day,Working Day,Working Day
2014-05-09,Working Day,Working Day,Working Day,Working Day
2014-05-10,Additional,National,Ecuador,Dia de la Madre-1
2014-05-11,Event,National,Ecuador,Dia de la Madre
2014-05-12,Holiday,Local,Puyo,Cantonizacion del Puyo
2014-05-13,Working Day,Working Day,Working Day,Working Day
2014-05-14,Working Day,Working Day,Working Day,Working Day
2014-05-15,Working Day,Working Day,Working Day,Working Day
2014-05-16,Working Day,Working Day,Working Day,Working Day
2014-05-17,Working Day,Working Day,Working Day,Working Day
2014-05-18,Working Day,Working Day,Working Day,Working Day
2014-05-19,Working Day,Working Day,Working Day,Working Day
2014-05-20,Working Day,Working Day,Working Day,Working Day
2014-05-21,Working Day,Working Day,Working Day,Working Day
2014-05-22,Working Day,Working Day,Working Day,Working Day
